gbifID,locality,individualCount,decimalLatitude,decimalLongitude,eventDate,year,month
2235525665,,,48.406837,-123.322935,2019-03-31T11:54,2019.0,3.0
1790165164,West Vancouver--Ambleside Park,1.0,49.323944,-123.14484,2014-02-07,2014.0,2.0
1166204837,Maplewood 08,3.0,49.302345,-123.00661,2014-04-05,2014.0,4.0
4370449290,Pitt Meadows--Grant Narrows,30.0,49.348415,-122.619095,2022-06-06,2022.0,6.0
2067717431,Squamish River Estuary,,49.70507,-123.17841,2017-05-19,2017.0,5.0
3524423271,Kamloops -- Dufferin Wetland,4.0,50.66166,-120.393616,2021-04-07,2021.0,4.0
1365736175,Vancouver--Locarno Beach,2.0,49.27489,-123.21016,2015-05-07,2015.0,5.0
821886962,Lillooet--Seton Lake,40.0,50.668766,-121.98866,2011-11-18,2011.0,11.0
3234033289,Nanaimo--Neck Point Park,3.0,49.235535,-123.96475,2020-03-17,2020.0,3.0
3265561700,Delta--Brunswick Point,40.0,49.06564,-123.15415,2020-06-19,2020.0,6.0
3524853126,Pitt Meadows--Catbird Slough,2.0,49.33425,-122.6423,2021-05-06,2021.0,5.0
2180770491,Eaglet Lake (general location),30.0,54.098103,-122.30004,2018-08-23,2018.0,8.0
1390075760,Nanaimo--Buttertubs West Marsh,50.0,49.17138,-123.979126,2015-10-01,2015.0,10.0
3673604156,Vancouver--Queen Elizabeth Park,2.0,49.241943,-123.112206,2021-04-11,2021.0,4.0
1193737824,230 Goward Rd,,48.518906,-123.43045,2014-10-29,2014.0,10.0
2182726584,Port Coquitlam--Blakeburn Lagoons,15.0,49.26583,-122.73676,2018-09-01,2018.0,9.0
3528734949,Ladner Harbour Park,2.0,49.09334,-123.09184,2021-01-06,2021.0,1.0
1249286373,,,49.189726,-123.948913,2014-05-06T16:03:46,2014.0,5.0
210607238,Penticton--Okanagan Lake,48.0,49.50389,-119.59618,2009-02-13,2009.0,2.0
1202734772,"Langley, BC, CA",,49.117027,-122.64107,1997-10-04,1997.0,10.0
3595491299,Kamloops--McArthur Island Park,35.0,50.696064,-120.377625,2021-06-17,2021.0,6.0
2209659363,Hornby Island--Ford Cove,25.0,49.497345,-124.67684,2018-10-23,2018.0,10.0
4364081836,"School Road Dyke, Harrison River",8.0,49.24429,-121.94986,2022-03-13,2022.0,3.0
1786453123,Reifel Bird Sanctuary,200.0,49.1,-123.185,1985-10-30,1985.0,10.0
1200402921,Creston--Speers/Kootenay River Roads,466.0,49.10235,-116.54024,2014-12-20,2014.0,12.0
3606188084,Carvolth Greenspace,1.0,49.160866,-122.66143,2021-06-01,2021.0,6.0
2662877297,Stanley Park--Lost Lagoon,,49.29563,-123.140305,2019-04-07,2019.0,4.0
580737929,"1887 Frances Street, Duncan, BC",15.0,48.784557,-123.66271,2010-10-18,2010.0,10.0
3224322272,Sunoka Provincial Park,40.0,49.564167,-119.63167,2020-02-15,2020.0,2.0
2762662427,Turtle Main and Turtle Lake,5.0,49.32748,-124.975395,2019-07-01,2019.0,7.0
4352212604,Witty's Lagoon Regional Park,19.0,48.386383,-123.51718,2022-07-13,2022.0,7.0
4345855987,Cheam Lake Wetlands Regional Park,80.0,49.195557,-121.7525,2022-02-21,2022.0,2.0
4228956366,Tranquille Marsh,,50.72275,-120.50346,2022-06-17,2022.0,6.0
4260736462,Whistler--Fitzsimmons Fan Park & Nicklaus North Golf Course,15.0,50.14495,-122.94628,2022-05-12,2022.0,5.0
4327951665,Reifel Bird Sanctuary,80.0,49.1,-123.185,2005-02-20,2005.0,2.0
2133333212,Nanaimo--Neck Point Park,12.0,49.235535,-123.96475,2018-03-07,2018.0,3.0
3665872759,Duncan Sewage Lagoons,15.0,48.778175,-123.68132,2021-01-16,2021.0,1.0
4335566118,Stanley Park--Brockton Point,3.0,49.29993,-123.1169,2022-02-12,2022.0,2.0
1735017548,Sechelt Golf Course,2.0,49.489803,-123.78296,2016-05-08,2016.0,5.0
3691709711,Esquimalt Lagoon,19.0,48.4294,-123.45837,2021-09-21,2021.0,9.0
2161127652,Creston Valley Wildlife Centre,7.0,49.11972,-116.631386,2018-05-12,2018.0,5.0
2735940394,"Mill Lake, Abbotsford",,49.044846,-122.31027,2019-04-08,2019.0,4.0
2685436676,Kamloops--McArthur Island Park,2.0,50.696064,-120.377625,2019-05-01,2019.0,5.0
1397079155,"178 Penticton, Oxbow",16.0,49.46839,-119.592606,2015-11-07,2015.0,11.0
580032750,Heffley Lake,7.0,50.83533,-120.05424,2010-06-27,2010.0,6.0
1391401300,Oak Bay--Cattle Point,17.0,48.43874,-123.29416,2015-10-10,2015.0,10.0
2141760171,Martindale Flats--McIntyre Reservoir,20.0,48.56911,-123.379814,2018-04-03,2018.0,4.0
275841903,Burnaby Lake Regional Park (general),1.0,49.24299,-122.944046,2001-12-29,2001.0,12.0
821903248,Port Clements,2.0,53.685677,-132.1741,2011-10-15,2011.0,10.0
3600676851,"Swan Lake Nature Sanctuary, Victoria",14.0,48.464558,-123.3738,2021-03-07,2021.0,3.0
3175916089,Colony Farm,12.0,49.23429,-122.79964,2020-05-28,2020.0,5.0
1784632733,Oliver--Deadman Lake,2.0,49.091946,-119.55361,1988-04-15,1988.0,4.0
4181799225,Cranbrook Irrigation Fields,14.0,49.55488,-115.63308,2022-05-06,2022.0,5.0
4390148964,Poker Creek bird census section 3,8.0,48.429146,-123.3062,2022-05-01,2022.0,5.0
3681778565,Courtenay airpark,,49.68007,-124.979195,2021-08-06,2021.0,8.0
3525549374,Little Qualicum estuary,1.0,49.3665,-124.49226,2021-05-30,2021.0,5.0
2207156472,Salsbury Rd off Hwy 95,32.0,50.988003,-116.46284,2018-10-15,2018.0,10.0
1399223942,Reifel Bird Sanctuary,,49.1,-123.185,2015-11-27,2015.0,11.0
3525901292,Ruskin Dam Picnic Area,3.0,49.192886,-122.40756,2021-04-11,2021.0,4.0
2104944962,Penticton--Okanagan River,8.0,49.47396,-119.597015,2018-01-12,2018.0,1.0
1181525849,"Swan Lake Nature Sanctuary, Victoria",18.0,48.464558,-123.3738,2014-07-10,2014.0,7.0
1365600770,Vaseux Lake Bird Observatory,1.0,49.30998,-119.54459,2015-05-06,2015.0,5.0
2693264060,Rawlings Lake,13.0,50.273212,-118.88168,2019-05-11,2019.0,5.0
1181238664,Squamish River Estuary,37.0,49.70507,-123.17841,2014-07-23,2014.0,7.0
4153369176,,,49.11388,-122.546849,2023-05-19T11:30,2023.0,5.0
3674843188,"Bear Hill Regional Park, Saanich",42.0,48.54633,-123.40668,2021-04-30,2021.0,4.0
945247040,Kelowna--Maude-Roxby Sanctuary,2.0,49.870506,-119.49701,2013-03-31,2013.0,3.0
2227472024,Rocky Point Bird Observatory (restricted access),14.0,48.3198,-123.54715,2013-10-06,2013.0,10.0
948202355,Golden--Reflection Lake,1.0,51.283596,-116.94597,2013-04-21,2013.0,4.0
3142810555,Wasa Lake Provincial Park,15.0,49.79234,-115.73782,2020-03-22,2020.0,3.0
1345779231,Sooke--Whiffin Spit Park,22.0,48.356464,-123.724594,2015-01-12,2015.0,1.0
3691599443,Burnaby Lake--Piper Spit,12.0,49.242077,-122.93545,2021-09-05,2021.0,9.0
4362515653,VI-Blower Road Woods,12.0,49.310856,-124.299835,2009-05-12,2009.0,5.0
2677649890,Invermere--Cardiff Ave Beach/Lake Windermere,2.0,50.46091,-115.99223,2019-04-10,2019.0,4.0
